,TP53,CDH1,PTEN,ATM,CHEK2,STK11,RAD51C,PALB2,BARD1,NBN,APC,CDKN2A,SMAD4,CDK4,BMPR1A,ACTB,GAPDH,RPL19,HPRT1,TUBB,HBB,GAP43,EIF4A2,RPL13A,ACTG1
0,0.296758009715509,0.286170361455102,0.316689449327259,0.178943537338163,0.139185073336559,0.334146327148716,0.161477016898775,0.181062277879485,0.133877415257239,0.25486427462482,0.186382682912546,0.126237750040317,0.297934567168443,0.401055785795422,0.181841233044599,0.776150292558689,0.620094026250274,0.715018375136171,0.299245284595265,0.504498353051152,0.742028018131894,0.0489192158960329,0.549652829971563,0.752272862237487,0.728844176580486
1,0.302209608843826,0.43283593842675,0.327748773068526,0.20906773811139,0.155599271561309,0.321260485714734,0.158871182347766,0.20458635016245,0.14688677011442,0.275620974810156,0.205630460346406,0.033491711950174,0.324433687093367,0.388160921258206,0.208625253817405,0.699626950096784,0.575067411538701,0.698720451070442,0.289656724043227,0.470765672817134,0.220403661290493,0.0136214989443508,0.566786767888077,0.757068404092334,0.654365964593719
2,0.305674133673222,0.294789385394597,0.33435047935738,0.199693675778509,0.170248282991905,0.315103972174762,0.140157679071126,0.19724200319055,0.152892627428691,0.274365966061861,0.20001861764956,0.12099989524016,0.305326467693385,0.395123884771708,0.19986711943826,0.746280574261518,0.600999939037222,0.696466624936547,0.281833362239392,0.510321755450586,0.318611369720573,0.0321659859784611,0.55281792799219,0.753964220738439,0.671654797099286
3,0.242783774148257,0.0439611446129923,0.310046211384212,0.187267425197779,0.10616607908328,0.303674792644845,0.136654662427817,0.152026984475226,0.158904841209343,0.255759043559539,0.211622063067919,0.0531708021742847,0.28608471817437,0.319273264763352,0.188254332286179,0.716241904240103,0.580584027277916,0.659675210208486,0.237950566454923,0.473430294872672,0.559839314169465,0.0232468434757428,0.486214583055478,0.69563331269346,0.633202370974295
4,0.260164730058487,0.0087083342829496,0.389860007991487,0.163788551398951,0.111891070675389,0.283829840712547,0.153839170243383,0.176914115356655,0.0907759337368557,0.248668392980753,0.174270627267029,0.0101197340778742,0.27343800998922,0.389845976480682,0.174881919065128,0.733762639309176,0.583530497382795,0.700027018598696,0.243192415573955,0.525455410110411,0.308745969564439,0.0816207537611705,0.545248974521531,0.747156334340231,0.670427958221642
5,0.316132951508594,0.380447796225388,0.325841006953992,0.204802274748583,0.168413273649221,0.341864234770914,0.148274202908572,0.194264942482562,0.137844096834531,0.264425139118831,0.197130533423405,0.073130366762994,0.317487443709017,0.417446109283113,0.225505898011211,0.725679870779398,0.596748911362431,0.735550497768581,0.305535223263125,0.486958114942056,0.751012678405157,0.0208710606651119,0.57982349274111,0.782712308841828,0.683882257343987
6,0.30392265431238,0.388531701031981,0.280614565508319,0.187329414781099,0.177038799373847,0.316812664421055,0.160473217031503,0.161427902285679,0.171608493527462,0.270647830906106,0.173252403435936,0.0302185351793201,0.28006770643344,0.377193266844429,0.200826037825339,0.772538428066626,0.591559864033258,0.678442681679348,0.28543986628483,0.515801781811581,0.52450426141308,0.277142699215126,0.535439399593703,0.716868501363919,0.721378540587169
7,0.264533238868988,0.0082160465508165,0.316194949359949,0.151954482405136,0.117152130266309,0.285612264618261,0.151006773691736,0.162664210772259,0.0972342516903954,0.258623352461402,0.186720127111207,0.0207744573975098,0.282814775884673,0.365506985406145,0.21126827157254,0.735106746211669,0.549476591483406,0.686861622912343,0.263937128682406,0.469463775638619,0.526622766881467,0.0306006006188861,0.521181903999735,0.716283809029932,0.663374701952569
8,0.253048479114426,0.0498374578337167,0.37318493415903,0.173856079418572,0.104338167736963,0.296910662910171,0.137399840381448,0.163644752801586,0.0906357666923449,0.266827489194025,0.191817413297864,0.0135170565472802,0.277753854422771,0.36709772773109,0.208812337470919,0.710359316471729,0.542627786528019,0.680064944415114,0.219373317184169,0.481728521876643,0.505514826928511,0.0595333405044466,0.547798279730439,0.726396591602023,0.658200148183134
9,0.337286088433615,0.0079859858572806,0.326564479668705,0.154617723344264,0.145575470075419,0.313936560376675,0.153732496938896,0.196222668260731,0.10940278704794,0.258161696517495,0.195248958638292,0.0241761127629275,0.284311416322629,0.428771707119187,0.153250946525819,0.789929302638288,0.647777076710485,0.726170855089669,0.35615465740173,0.4775627874151,0.541288946942522,0.0046773697171146,0.575258581202324,0.764490930402523,0.739614858556651
